id,path,label
2,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000033.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
4,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000042.jpg,{'annotations': [{'category_id': 'train'}]}
6,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000063.jpg,{'annotations': [{'category_id': 'chair'}]}
8,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000121.jpg,{'annotations': [{'category_id': 'tvmonitor'}]}
10,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000129.jpg,{'annotations': [{'category_id': 'person'}]}
12,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000175.jpg,{'annotations': [{'category_id': 'sheep'}]}
14,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000241.jpg,{'annotations': [{'category_id': 'boat'}]}
16,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000250.jpg,{'annotations': [{'category_id': 'bottle'}]}
18,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000323.jpg,{'annotations': [{'category_id': 'person'}]}
20,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000333.jpg,{'annotations': [{'category_id': 'train'}]}
22,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000363.jpg,{'annotations': [{'category_id': 'bird'}]}
24,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000392.jpg,{'annotations': [{'category_id': 'person'}]}
26,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000464.jpg,{'annotations': [{'category_id': 'cow'}]}
28,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000491.jpg,{'annotations': [{'category_id': 'cow'}]}
30,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000515.jpg,{'annotations': [{'category_id': 'car'}]}
32,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000529.jpg,{'annotations': [{'category_id': 'boat'}]}
34,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000559.jpg,{'annotations': [{'category_id': 'tvmonitor'}]}
36,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000584.jpg,{'annotations': [{'category_id': 'bicycle'}]}
38,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000636.jpg,{'annotations': [{'category_id': 'train'}]}
40,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000648.jpg,{'annotations': [{'category_id': 'bus'}]}
42,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000663.jpg,{'annotations': [{'category_id': 'car'}]}
44,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000713.jpg,{'annotations': [{'category_id': 'boat'}]}
46,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000727.jpg,{'annotations': [{'category_id': 'car'}]}
48,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000738.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
50,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000768.jpg,{'annotations': [{'category_id': 'bus'}]}
52,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000793.jpg,{'annotations': [{'category_id': 'bus'}]}
54,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000804.jpg,{'annotations': [{'category_id': 'sofa'}]}
56,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000830.jpg,{'annotations': [{'category_id': 'chair'}]}
58,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000837.jpg,{'annotations': [{'category_id': 'boat'}]}
60,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000862.jpg,{'annotations': [{'category_id': 'boat'}]}
62,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000904.jpg,{'annotations': [{'category_id': 'person'}]}
64,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000999.jpg,{'annotations': [{'category_id': 'person'}]}
66,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001073.jpg,{'annotations': [{'category_id': 'cow'}]}
68,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001154.jpg,{'annotations': [{'category_id': 'pottedplant'}]}
70,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001185.jpg,{'annotations': [{'category_id': 'bottle'}]}
72,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001239.jpg,{'annotations': [{'category_id': 'dog'}]}
74,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001288.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
76,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001299.jpg,{'annotations': [{'category_id': 'cow'}]}
78,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001321.jpg,{'annotations': [{'category_id': 'car'}]}
80,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001377.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
82,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001408.jpg,{'annotations': [{'category_id': 'pottedplant'}]}
84,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001420.jpg,{'annotations': [{'category_id': 'pottedplant'}]}
86,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001430.jpg,{'annotations': [{'category_id': 'pottedplant'}]}
88,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001457.jpg,{'annotations': [{'category_id': 'chair'}]}
90,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001487.jpg,{'annotations': [{'category_id': 'boat'}]}
92,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001568.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
94,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001586.jpg,{'annotations': [{'category_id': 'person'}]}
96,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001594.jpg,{'annotations': [{'category_id': 'dog'}]}
98,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001602.jpg,{'annotations': [{'category_id': 'bottle'}]}
100,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001630.jpg,{'annotations': [{'category_id': 'bicycle'}]}
102,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001678.jpg,{'annotations': [{'category_id': 'person'}]}
104,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001704.jpg,{'annotations': [{'category_id': 'tvmonitor'}]}
106,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001717.jpg,{'annotations': [{'category_id': 'chair'}]}
108,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001733.jpg,{'annotations': [{'category_id': 'sheep'}]}
110,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001763.jpg,{'annotations': [{'category_id': 'sofa'}]}
112,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001774.jpg,{'annotations': [{'category_id': 'cat'}]}
114,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001834.jpg,{'annotations': [{'category_id': 'diningtable'}]}
116,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001872.jpg,{'annotations': [{'category_id': 'sheep'}]}
118,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001901.jpg,{'annotations': [{'category_id': 'diningtable'}]}
120,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001955.jpg,{'annotations': [{'category_id': 'horse'}]}
