source,target
20%脂肪乳注射液,脂肪乳
羟乙基淀粉注射液,羟乙基淀粉
0.9%氯化钠注双阀注射剂免试,氯化钠
10%甘油果糖注射液,果糖
10%脂肪乳注射液,依托咪酯（甲苄咪唑，嘧羟酯）
长春西汀注射液,长春西丁（长春西汀，长春乙酯）
10%葡萄糖酸钙注射液,氨基酸/碳水化合物/矿物质/维生素，复方
腹膜透析液乳酸盐,腹膜透析
25%硫酸镁注射液,硫酸镁
0.9%氯化钠注软袋免试,氯化钠
5%碳酸氢钠注射液,碳酸氢钠
10%氯化钠注射液,氯化钠，高渗的
阿米卡星注射液丁氨卡那,阿米卡星
布洛芬混悬液口服溶液高热时用,布洛芬
参芪扶正注射液,参芪扶正注射液
0.9%氯化钠注袋喜炎平前后冲管,喜炎平注射液
果糖二磷酸钠注射液,二磷酸果糖
50%葡萄糖注射液,葡萄糖
丹参酮磺酸钠注射液,丹参酮ⅡA磺酸钠注射液
低分子量肝素钙注射液,低分子肝素钙注射液
奥硝唑注射液,奥硝唑
苯海拉明注射液,苯海拉明
地塞米松注射液,地塞米松
0.9%氯化钠注袋下午执行,氯化钠
胞磷胆碱钠注射液,胞磷胆碱（二磷酸胞苷胆碱）
5%葡萄糖注射液,葡萄糖
布洛芬混悬液口服溶液高热时口服,布洛芬
玻璃酸钠注射液,透明质酸酶
复方氨基酸注射液18AA,氨基酸
布比卡因注射液,布比卡因
参附注射液,参附注射液
鸡血藤颗粒,鸡血藤片
聚肌胞注射液,聚肌胞苷酸
参麦注射液,参麦注射液
低分子肝素钙注射液,低分子肝素钙注射液
布洛芬混悬液口服溶液交给家属,布洛芬
克林霉素注射液,克林霉素
杜仲颗粒,杜仲颗粒
复方丹参注射液香丹,香丹注射液
阿托品注射液,阿托品
复方倍他米松注射液得宝松,倍他米松和抗感染药
碘解磷啶注射液,碘解磷定
达肝素钠注射液,肝素
葡萄糖氯化钠注射液袋装,氨基酸/碳水化合物/矿物质/维生素，复方
复方氯化钠注射液林格氏液,氨基酸/碳水化合物/矿物质/维生素，复方
多西他赛注射液,多烯紫杉醇（多西他赛）
异丙嗪注射液,异丙嗪
二甲弗林注射液回苏灵,二甲弗林
阿替卡因肾上腺素注射液,阿替卡因，复方
肝素钠注射液,肝素
甘草酸二铵注射液苷利欣,甘草酸
硫酸庆大霉素注射液,庆大霉素
酚磺乙胺注射液,酚磺乙胺（止血敏）
冠心丹参滴丸,冠心丹参滴丸
甲磺酸罗哌卡因注射液,罗哌卡因
10%氯化钾注射液,氯化钾
骨瓜提取物注射液,骨瓜提取物
奥扎格雷钠注射液,其它抗血栓形成药
利多卡因注射液,利多卡因（赛罗卡因）
氯胺酮注射液,氯胺酮（优洛芬，酮基布洛芬，开他敏）
红花注射液,红花注射液
参芎注射液丹参川芎嗪,丹参
柴胡注射液,柴胡注射液
丙泊酚注射液,丙泊酚（双异丙酚）
芒硝另煎,芒硝
纳洛酮注射液,纳洛酮
鹿角胶烊化,鹿角胶颗粒
麻黄碱注射液,麻黄碱
红霉素片删,红霉素
喉咽清口服液喉咽清口服液,喉咽清口服液
丹参颗粒,丹参颗粒
破伤风抗毒素注射液,破伤风抗毒素
穿心莲片甲类白云山,穿心莲片
肌苷注射液,肌苷
链霉素粉针,链霉素
慢大于小时滴入5%葡萄糖注射液软袋,葡萄糖
慢大于小时输入5%葡萄糖注射液软袋,葡萄糖
碘海醇注射液,碘海醇（碘苯六醇，三碘三酰苯）
法舒地尔注射液,法舒地尔
泼尼松龙注射液强的松,泼尼松龙
芒硝另包,芒硝
肺力咳合剂口服溶液,肺力咳合剂
冠心宁注射液,冠心宁注射液
喉咽清口服液,喉咽清口服液
活血止痛胶囊,活血止痛胶囊
芒硝兑冲,芒硝
凝血酶冻干粉,凝血酶
肺力咳合剂口服溶液交给家属,肺力咳合剂
氟尿嘧啶注射液,氟尿嘧啶（氟二氧嘧啶）
碘帕醇注射液,碘帕醇（碘异肽醇）
复方甘露醇注射液,甘露醇
鸡血藤,鸡血藤片
鹿角胶另煎,鹿角胶颗粒
氯化琥珀胆碱注射液司可林,氯琥珀胆碱
芒硝后下,芒硝
庆大霉素注射液,庆大霉素
六神曲颗粒,六神曲
鹿角胶冲服,鹿角胶颗粒
复方氨基酸15AA肝安针,氨基酸
复方氨基酸18AA注射液,氨基酸
复方氨基酸3AA注射液支链氨基酸,氨基酸
氢化可的松注射液,氢化可的松
硫普罗宁注射液,硫普罗宁
黄瑞香注射液,黄瑞香注射液
人血白蛋白注射液,白蛋白
鹿角胶后下,鹿角胶颗粒
鹿角胶另包,鹿角胶颗粒
肾上腺素注射液付肾素,肾上腺素
开喉剑喷雾剂儿童型喷雾剂交给家属,开喉剑喷雾剂(儿童型)
坎离砂,坎离砂
马来酸桂哌齐特注射液,桂哌齐特
芒硝冲服,芒硝
去氧孕烯炔雌醇片,去氧孕烯和炔雌醇
升麻颗粒,升麻
脉络宁注射液,脉络宁注射液
消咳片A2乙类片,消咳片
硝酸甘油注射液,硝酸甘油
瑞芬太尼注射液,瑞芬太尼
升麻,升麻
维生素D3碳酸钙片钙尔奇片,氨基酸/碳水化合物/矿物质/维生素，复方
维生素K1注射液,维生素K
盐酸苯海拉明注射液,苯海拉明
益母草颗粒,益母颗粒
葡萄糖氯化钠注射液塑瓶,氨基酸/碳水化合物/矿物质/维生素，复方
驱虫斑鸠菊注射液,驱虫斑鸠菊注射液
羟乙基淀粉注射液代血浆,羟乙基淀粉
升麻无药,升麻
术前消旋卡多曲颗粒颗粒剂,消旋卡多曲
清开灵注射液,清开灵注射液
舒芬太尼注射液,舒芬太尼
无糖胃苏冲剂,胃苏颗粒
盐酸洛美沙星滴耳液,洛美沙星
维生素B12注射液,维生素B12（氰钴胺及其类似药物）
