,sampleId,path,label
4119,008289,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008289.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['1', '84', '84', '375']}]}"
1262,002532,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002532.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['185', '111', '111', '231']}, {'category_id': 'car', 'bbox': ['68', '172', '172', '203']}]}"
1470,002950,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002950.jpg,"{'annotations': [{'category_id': 'bottle', 'bbox': ['113', '321', '321', '500']}]}"
4950,009962,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009962.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['211', '192', '192', '326']}, {'category_id': 'person', 'bbox': ['250', '68', '68', '312']}, {'category_id': 'person', 'bbox': ['4', '2', '2', '374']}, {'category_id': 'diningtable', 'bbox': ['358', '216', '216', '375']}]}"
429,000846,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000846.jpg,"{'annotations': [{'category_id': 'aeroplane', 'bbox': ['123', '177', '177', '208']}, {'category_id': 'aeroplane', 'bbox': ['174', '244', '244', '273']}, {'category_id': 'aeroplane', 'bbox': ['189', '211', '211', '241']}, {'category_id': 'aeroplane', 'bbox': ['213', '181', '181', '212']}, {'category_id': 'aeroplane', 'bbox': ['259', '185', '185', '215']}, {'category_id': 'aeroplane', 'bbox': ['190', '152', '152', '182']}, {'category_id': 'aeroplane', 'bbox': ['146', '142', '142', '173']}, {'category_id': 'aeroplane', 'bbox': ['168', '103', '103', '134']}]}"
3729,007520,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007520.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['3', '1', '1', '374']}, {'category_id': 'person', 'bbox': ['104', '127', '127', '165']}, {'category_id': 'person', 'bbox': ['263', '149', '149', '185']}]}"
3450,006970,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006970.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['60', '298', '298', '397']}]}"
3315,006685,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006685.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['48', '138', '138', '322']}]}"
4777,009608,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009608.jpg,"{'annotations': [{'category_id': 'bird', 'bbox': ['160', '73', '73', '221']}]}"
2470,004941,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004941.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['9', '61', '61', '478']}]}"
4728,009506,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009506.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['2', '2', '2', '333']}]}"
1082,002133,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002133.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['185', '130', '130', '242']}, {'category_id': 'sheep', 'bbox': ['94', '244', '244', '375']}]}"
247,000485,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000485.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['10', '112', '112', '333']}, {'category_id': 'motorbike', 'bbox': ['94', '149', '149', '242']}]}"
1943,003920,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003920.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['1', '84', '84', '361']}]}"
2393,004798,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004798.jpg,"{'annotations': [{'category_id': 'bird', 'bbox': ['56', '16', '16', '333']}]}"
798,001587,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001587.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['204', '249', '249', '325']}]}"
3445,006960,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006960.jpg,"{'annotations': [{'category_id': 'cat', 'bbox': ['203', '52', '52', '307']}]}"
