,sampleId,path,label
4601,009233,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009233.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['157', '61', '61', '297']}]}"
4550,009125,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009125.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['119', '180', '180', '235']}, {'category_id': 'person', 'bbox': ['465', '177', '177', '209']}, {'category_id': 'person', 'bbox': ['151', '178', '178', '375']}, {'category_id': 'person', 'bbox': ['56', '166', '166', '375']}, {'category_id': 'person', 'bbox': ['39', '167', '167', '193']}]}"
2293,004603,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004603.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['6', '137', '137', '224']}]}"
2129,004289,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004289.jpg,"{'annotations': [{'category_id': 'tvmonitor', 'bbox': ['218', '70', '70', '153']}, {'category_id': 'person', 'bbox': ['104', '82', '82', '313']}, {'category_id': 'person', 'bbox': ['181', '64', '64', '373']}]}"
339,000658,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000658.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['223', '247', '247', '375']}]}"
2880,005792,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005792.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['217', '83', '83', '333']}]}"
4660,009357,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009357.jpg,"{'annotations': [{'category_id': 'tvmonitor', 'bbox': ['365', '149', '149', '305']}]}"
3531,007137,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007137.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['310', '99', '99', '264']}, {'category_id': 'bicycle', 'bbox': ['258', '119', '119', '233']}, {'category_id': 'person', 'bbox': ['117', '1', '1', '104']}, {'category_id': 'person', 'bbox': ['1', '11', '11', '128']}, {'category_id': 'person', 'bbox': ['22', '1', '1', '298']}, {'category_id': 'person', 'bbox': ['98', '151', '151', '331']}, {'category_id': 'person', 'bbox': ['1', '152', '152', '331']}, {'category_id': 'person', 'bbox': ['70', '45', '45', '313']}]}"
2401,004810,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004810.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['8', '238', '238', '340']}, {'category_id': 'car', 'bbox': ['242', '217', '217', '262']}, {'category_id': 'car', 'bbox': ['263', '202', '202', '245']}, {'category_id': 'person', 'bbox': ['358', '212', '212', '283']}, {'category_id': 'person', 'bbox': ['413', '219', '219', '305']}, {'category_id': 'person', 'bbox': ['389', '209', '209', '287']}]}"
3685,007430,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007430.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['52', '17', '17', '300']}]}"
