,sampleId,path
3829,007726,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007726.jpg
4865,009791,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009791.jpg
2909,005855,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005855.jpg
1208,002416,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002416.jpg
2998,006031,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006031.jpg
1552,003128,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003128.jpg
3375,006804,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006804.jpg
4449,008922,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008922.jpg
2675,005362,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005362.jpg
1805,003637,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003637.jpg
3583,007246,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007246.jpg
18,000037,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000037.jpg
1749,003531,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003531.jpg
1329,002671,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002671.jpg
205,000405,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000405.jpg
2121,004267,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004267.jpg
1770,003563,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003563.jpg
1951,003933,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003933.jpg
4627,009292,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009292.jpg
1015,002007,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002007.jpg
2217,004454,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004454.jpg
568,001123,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001123.jpg
