id,path,label
1,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000032.jpg,
2,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000033.jpg,
3,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000039.jpg,
4,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000042.jpg,
6,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000063.jpg,
7,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000068.jpg,
8,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000121.jpg,
9,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000123.jpg,
11,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000170.jpg,
12,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000175.jpg,
13,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000187.jpg,
14,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000241.jpg,
16,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000250.jpg,
17,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000256.jpg,
18,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000323.jpg,
19,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000332.jpg,
21,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000346.jpg,
22,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000363.jpg,
23,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000364.jpg,
24,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000392.jpg,
26,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000464.jpg,
27,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000480.jpg,
28,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000491.jpg,
29,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000504.jpg,
31,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000528.jpg,
32,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000529.jpg,
33,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000549.jpg,
34,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000559.jpg,
36,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000584.jpg,
37,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000629.jpg,
38,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000636.jpg,
39,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000645.jpg,
41,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000661.jpg,
42,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000663.jpg,
43,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000676.jpg,
44,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000713.jpg,
46,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000727.jpg,
47,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000733.jpg,
48,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000738.jpg,
49,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000762.jpg,
51,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000783.jpg,
52,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000793.jpg,
53,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000799.jpg,
54,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000804.jpg,
56,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000830.jpg,
57,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000836.jpg,
58,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000837.jpg,
59,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000847.jpg,
61,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000876.jpg,
62,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000904.jpg,
63,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000925.jpg,
64,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000999.jpg,
66,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001073.jpg,
67,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001149.jpg,
68,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001154.jpg,
69,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001175.jpg,
71,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001225.jpg,
72,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001239.jpg,
73,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001284.jpg,
74,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001288.jpg,
76,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001299.jpg,
77,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001311.jpg,
78,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001321.jpg,
79,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001340.jpg,
81,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001397.jpg,
82,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001408.jpg,
83,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001416.jpg,
84,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001420.jpg,
86,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001430.jpg,
87,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001439.jpg,
88,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001457.jpg,
89,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001458.jpg,
91,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001526.jpg,
92,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001568.jpg,
93,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001585.jpg,
94,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001586.jpg,
96,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001594.jpg,
97,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001595.jpg,
98,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001602.jpg,
99,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001609.jpg,
101,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001677.jpg,
102,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001678.jpg,
103,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001698.jpg,
104,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001704.jpg,
106,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001717.jpg,
107,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001724.jpg,
108,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001733.jpg,
109,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001761.jpg,
111,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001764.jpg,
112,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001774.jpg,
113,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001825.jpg,
114,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001834.jpg,
116,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001872.jpg,
117,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001884.jpg,
118,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001901.jpg,
119,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001917.jpg,
