id,path,label
5,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000061.jpg,{'annotations': [{'category_id': 'boat'}]}
10,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000129.jpg,{'annotations': [{'category_id': 'bicycle'}]}
15,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000243.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
20,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000333.jpg,{'annotations': [{'category_id': 'train'}]}
25,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000452.jpg,{'annotations': [{'category_id': 'sofa'}]}
30,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000515.jpg,{'annotations': [{'category_id': 'car'}]}
35,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000572.jpg,{'annotations': [{'category_id': 'bicycle'}]}
40,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000648.jpg,{'annotations': [{'category_id': 'bus'}]}
45,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000720.jpg,{'annotations': [{'category_id': 'dog'}]}
50,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000768.jpg,{'annotations': [{'category_id': 'bus'}]}
55,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000822.jpg,{'annotations': [{'category_id': 'motorbike'}]}
60,D:\Python\source\VOCdevkit\voc2012-500\img\2007_000862.jpg,{'annotations': [{'category_id': 'boat'}]}
65,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001027.jpg,{'annotations': [{'category_id': 'chair'}]}
70,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001185.jpg,{'annotations': [{'category_id': 'cat'}]}
75,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001289.jpg,{'annotations': [{'category_id': 'bird'}]}
80,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001377.jpg,{'annotations': [{'category_id': 'aeroplane'}]}
85,D:\Python\source\VOCdevkit\voc2012-500\img\2007_001423.jpg,{'annotations': [{'category_id': 'person'}]}
